"","year","iso3_o","iso3_d","dist","distw_harmonic","contig","comlang_off","comcol","col45","heg_o","heg_d","col_dep_ever","col_dep","gdp_o","gdp_d","pop_o","pop_d","comrelig","eu_o","eu_d","fta_wto","wto_o","wto_d"
"148",1995,"AFG","TGO",7611,7508,0,0,0,0,0,0,0,0,NA,1309382.784,17586.073,4284.497,0.168809995055199,0,0,0,0,1
"149",1995,"AFG","THA",3905,3973,0,0,0,0,0,0,0,0,NA,168018558.976,17586.073,58983.955,0.0387270003557205,0,0,0,0,1
"150",1995,"AFG","TJK",446,461,1,0,0,0,0,0,0,0,NA,1231523.072,17586.073,5784.33,0.844049990177155,0,0,0,0,0
"151",1995,"AFG","TKM",1041,941,1,0,0,0,0,0,0,0,NA,2482228.48,17586.073,4188.01,0.863910019397736,0,0,0,0,0
"152",1995,"AFG","TLS",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"153",1995,"AFG","TTO",12805,12733,0,0,0,0,0,0,0,0,NA,5329213.952,17586.073,1255.001,0.0645449981093407,0,0,0,0,1
"154",1995,"AFG","TUN",5261,5175,0,0,0,0,0,0,0,0,NA,18030876.672,17586.073,8957.5,0.987042009830475,0,0,0,0,1
"155",1995,"AFG","TUR",3583,3229,0,0,0,0,0,0,0,0,NA,169485942.784,17586.073,58522.32,0.985055983066559,0,0,0,0,1
"156",1995,"AFG","TWN",5109,5197,0,0,0,0,0,0,0,0,NA,279013000,17586.073,21267.653,0.00496499985456467,0,0,0,0,0
"157",1995,"AFG","TZA",5553,5508,0,0,0,0,0,0,0,0,NA,5255221.248,17586.073,29944.302,0.322724997997284,0,0,0,0,1
"158",1995,"AFG","UGA",5368,5274,0,0,0,0,0,0,0,0,NA,5755819.008,17586.073,20740.726,0.0655379965901375,0,0,0,0,1
"159",1995,"AFG","UKR",3580,3243,0,0,0,0,0,0,0,0,NA,48213868.544,17586.073,51512.299,0,0,0,0,0,0
"160",1995,"AFG","URY",15081,14979,0,0,0,0,0,0,0,0,NA,19297662.976,17586.073,3224.383,0,0,0,0,0,1
"161",1995,"AFG","USA",10862,11566,0,0,0,0,0,0,0,0,NA,7664100179.968,17586.073,266278.015,0.00794399995356798,0,0,0,0,1
"162",1995,"AFG","UZB",748,766,1,0,0,0,0,0,0,0,NA,13350461.44,17586.073,22785,0.873839974403381,0,0,0,0,0
"163",1995,"AFG","VEN",13213,13248,0,0,0,0,0,0,0,0,NA,74888740.864,17586.073,22092.144,0,0,0,0,0,1
"164",1995,"AFG","VNM",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"165",1995,"AFG","VNM",4624,4481,0,0,0,0,0,0,0,0,NA,20736163.84,17586.073,71995.499,0.00992999970912933,0,0,0,0,0
"166",1995,"AFG","YEM",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,17586.073,NA,NA,0,NA,NA,0,NA
"167",1995,"AFG","YEM",3279,3237,0,0,0,0,0,0,0,0,NA,4258788.608,17586.073,15018.201,0.988035023212433,0,0,0,0,0
"168",1995,"AFG","ZAF",9242,8226,0,0,0,0,0,0,0,0,NA,151113089.024,17586.073,39119.999,0.0129089998081326,0,0,0,0,1
"169",1995,"AFG","ZMB",7019,6830,0,0,0,0,0,0,0,0,NA,3806982.656,17586.073,8841.338,0.00297900009900331,0,0,0,0,1
"170",1995,"AFG","ZWE",7061,7083,0,0,0,0,0,0,0,0,NA,7111270.912,17586.073,11639.364,0.00893700029700994,0,0,0,0,1
"171",1995,"AGO","AFG",7593,7540,0,0,0,0,0,0,0,0,5039552.512,NA,12104.952,17586.073,0,0,0,0,0,0
"172",1995,"AGO","ALB",5595,5710,0,0,0,0,0,0,0,0,5039552.512,2424498.944,12104.952,3187.784,0,0,0,0,0,0
"173",1995,"AGO","ARE",5919,5929,0,0,0,0,0,0,0,0,5039552.512,65743667.2,12104.952,2346.305,0.00334200006909668,0,0,0,0,0
"174",1995,"AGO","ARG",7780,7918,0,0,0,0,0,0,0,0,5039552.512,312569200.64,12104.952,34833.168,0.634638011455536,0,0,0,0,1
"175",1995,"AGO","ARM",6309,6393,0,0,0,0,0,0,0,0,5039552.512,1468317.312,12104.952,3223.173,0,0,0,0,0,0
"176",1995,"AGO","AUS",13535,12835,0,0,0,0,0,0,0,0,5039552.512,368022716.416,12104.952,18072.001,0.249881997704506,0,0,0,0,1
"177",1995,"AGO","AUT",6326,6446,0,0,0,0,0,0,0,0,5039552.512,240457629.696,12104.952,7948.278,0.622925996780396,0,1,0,0,1
"178",1995,"AGO","AZE",6623,6680,0,0,0,0,0,0,0,0,5039552.512,3052467.456,12104.952,7685,0,0,0,0,0,0
